district,total_population,secondary_school_students,primary_school_students,primary_mean,primary_median,primary_q1,primary_q3,primary_std,primary_iqr,secondary_mean,secondary_median,secondary_q1,secondary_q3,secondary_std,secondary_iqr,diff_mean,diff_median,diff_q1,diff_q3,diff_std,diff_iqr
Lundu,33405,2881,3360,3.9568916071428575,2.0154,0.8015,4.522600000000001,5.3111296512114246,3.7211000000000007,15.715695209996529,12.242899999999999,3.6096999999999997,27.9411,12.478463836451889,24.3314,11.758803602853671,10.2275,2.8082,23.418499999999998,7.167334185240464,20.6103
Marudi,18999,1959,2039,4.22665203038,1.3291,0.4353,2.9896,8.661604557291254,2.5542999999999996,13.152907877237853,2.1414,1.4476,20.4396,17.486760856025203,18.991999999999997,8.926255846857853,0.8123,1.0123,17.45,8.82515629873395,16.4377
Matu,16198,1237,1502,2.0536168664087366,0.8314,0.4928,1.5699,4.35443253305159,1.0771000000000002,14.323672756669364,5.3666,2.7792,10.1814,30.588400580822785,7.402200000000001,12.270055890260627,4.5352,2.2864,8.6115,26.233968047771196,6.325100000000001
Meradong,20298,1797,2174,1.6617206273962297,0.8834,0.5323,1.9517,1.9671127777436503,1.4194,6.547399499165276,1.5640999999999998,1.0900999999999998,6.541300000000001,10.653489595888775,5.451200000000001,4.885678871769046,0.6806999999999999,0.5577999999999999,4.589600000000001,8.686376818145124,4.0318000000000005
Miri,248891,20094,21664,2.490506086707696,2.0954,1.0985999999999998,3.3495,2.0071949236327575,2.2509,3.798468647653178,2.5947,1.4605,4.3237,6.160412563923321,2.8632,1.307962560945482,0.49929999999999986,0.3619000000000001,0.9741999999999997,4.153217640290563,0.6122999999999998
Mukah,42194,3359,3898,3.795592326325613,1.493,0.7193999999999999,4.5903,5.3825254013081505,3.8709000000000002,26.486691974940335,11.2436,1.8117999999999999,47.726099999999995,27.505896961988974,45.9143,22.691099648614724,9.7506,1.0924,43.135799999999996,22.123371560680823,42.0434
Pakan,15293,1302,1443,4.112320210526316,3.4206,1.5926,5.7058,3.4602525369535226,4.1132,16.245938569206842,12.479,2.6471,19.2967,17.064774842075146,16.6496,12.133618358680526,9.058399999999999,1.0545,13.590900000000001,13.604522305121623,12.5364
Pusa,19499,1999,2697,1.048096403411198,0.6534,0.4288,1.0968,1.4138198430835316,0.6679999999999999,7.555560230115058,2.6364,1.8077999999999999,14.2497,8.501244187305776,12.4419,6.5074638267038605,1.983,1.3789999999999998,13.1529,7.087424344222244,11.773900000000001
Samarahan,128307,12561,11274,3.334894207912009,2.8655,1.687,4.3202,2.1844752689227263,2.6331999999999995,4.44490153650187,4.0922,2.3458,5.549300000000001,2.835267278771354,3.2035000000000005,1.110007328589861,1.2267000000000001,0.6588,1.2291000000000007,0.6507920098486277,0.5703000000000009
Saratok,23517,1669,1745,1.7542725501432666,1.1976,0.5068,2.2171,1.7898783571952483,1.7102999999999997,10.655644064748202,1.8739000000000001,0.9907999999999999,20.6773,13.83268771806818,19.6865,8.901371514604936,0.6763000000000001,0.4839999999999999,18.4602,12.042809360872933,17.9762
Sarikei,44097,3959,4193,1.6855669968813682,1.2980999999999998,0.7383,2.1458000000000004,2.210334254838884,1.4075000000000004,5.333635476842661,1.9109,1.2102,5.5395,6.860403168340309,4.3293,3.6480684799612924,0.6128000000000002,0.4719,3.3937,4.650068913501425,2.9217999999999993
Sebauh,29897,1750,2636,10.970909312046192,6.6769,1.601,14.7144,13.431014338376922,13.113399999999999,37.97688619295205,41.7707,8.3364,59.4498,27.64638387022941,51.113400000000006,27.00597688090586,35.0938,6.735399999999999,44.735400000000006,14.215369531852488,38.00000000000001
Selangau,19412,1541,1847,6.173309799949525,4.8637,0.9668,9.6852,5.691736290275059,8.7184,29.93849281396911,28.7521,20.035,34.8928,26.890803535733486,14.857800000000001,23.765183014019584,23.888399999999997,19.0682,25.2076,21.199067245458426,6.1394
Serian,85389,7339,7797,2.2728680051314947,1.6199000000000001,0.8035,2.8436,2.1343440907998104,2.0401,7.804136077415837,6.2085,3.3783000000000003,10.2374,6.399948283200693,6.859099999999999,5.531268072284343,4.5886,2.5748,7.393799999999999,4.2656041924008825,4.818999999999999
Sibu,248009,20462,22130,1.771558996836873,1.2709000000000001,0.7345,2.1601999999999997,2.0444298346925946,1.4256999999999995,3.6744302902942043,2.2156,1.1882000000000001,4.156,4.055851334268181,2.9677999999999995,1.9028712934573313,0.9446999999999997,0.4537000000000001,1.9958,2.011421499575586,1.5421
Simunjan,35705,3094,3417,1.7943403863037755,1.1032,0.43610000000000004,2.0145999999999997,2.284409738495984,1.5784999999999996,11.471751422107303,4.575699999999999,3.1774,19.6994,11.110256179187678,16.522000000000002,9.677411035803528,3.4724999999999993,2.7413,17.684800000000003,8.825846440691693,14.943500000000002
Song,9999,875,1082,2.4254467764758005,0.8974,0.2368831244897876,2.9729,4.066040780533012,2.7360168755102126,13.596430614657208,1.9365999999999999,1.2414,13.761899999999999,27.614334636495943,12.520499999999998,11.170983838181408,1.0392,1.0045168755102125,10.788999999999998,23.548293855962932,9.784483124489785
Sri Aman,61503,4343,5348,3.288559529558699,1.3874000000000002,0.6925,2.8778,6.026294639882955,2.1853000000000002,15.220985362453531,3.2201999999999997,1.377,25.493599999999997,19.00003740375756,24.1166,11.932425832894832,1.8327999999999995,0.6845,22.615799999999997,12.973742763874604,21.931299999999997
Subis,57309,4333,4982,7.423954213709677,4.6818,1.0309000000000001,11.754299999999999,8.228765077919473,10.723399999999998,23.61871244784423,19.445700000000002,5.5223,38.2241,19.71737285892007,32.7018,16.194758234134554,14.763900000000003,4.4914000000000005,26.4698,11.488607781000596,21.9784
Tanjung Manis,7903,536,719,1.475783628112435,0.9092,0.5947,2.3818,1.3355269797504619,1.7871000000000001,12.002556744186043,15.8632,5.2345,17.8326,7.009312172746528,12.598099999999999,10.526773116073608,14.954,4.639799999999999,15.4508,5.673785192996066,10.810999999999998
Tatau,32217,2541,3587,6.814969371600561,2.5005,0.3418,9.820799999999998,9.935372711526476,9.479,28.799877976901627,18.8436,4.235600000000001,41.9869,32.98152521690304,37.7513,21.984908605301065,16.3431,3.8938000000000006,32.1661,23.04615250537656,28.2723
Tebedu,25598,2600,2521,1.619230107100357,1.1936,0.6349,2.5583,1.3667916921260403,1.9234,14.483212692307694,12.841899999999999,6.466,23.8971,9.537870646387265,17.431099999999997,12.863982585207337,11.648299999999999,5.8311,21.3388,8.171078954261224,15.507699999999996
Telang Usan,17593,1988,2096,5.742479008746357,0.6317,0.4146,7.7941,8.904249530117802,7.3795,44.85655706967214,39.2571,11.076799999999999,66.69030000000001,39.7973746790664,55.61350000000001,39.114078060925785,38.6254,10.662199999999999,58.89620000000001,30.8931251489486,48.23400000000001
