district,total_population,secondary_school_students,primary_school_students,primary_mean,primary_median,primary_q1,primary_q3,primary_std,primary_iqr,secondary_mean,secondary_median,secondary_q1,secondary_q3,secondary_std,secondary_iqr,diff_mean,diff_median,diff_q1,diff_q3,diff_std,diff_iqr
Meradong,20298,1797,2174,2.8859414290095065,2.0883333333333334,1.2283333333333333,3.3033333333333332,2.851372487379474,2.075,12.301309590057505,3.018333333333333,2.2550000000000003,9.403333333333334,23.51871250397721,7.148333333333333,9.415368161047999,0.9299999999999997,1.026666666666667,6.100000000000001,20.667340016597734,5.073333333333333
Miri,248891,20094,21664,4.395140298414519,3.7800000000000002,2.42,5.458333333333333,3.2702243081394773,3.038333333333333,5.959684269905265,4.37,2.9833333333333334,6.67,10.594324088412675,3.6866666666666665,1.5645439714907452,0.5899999999999999,0.5633333333333335,1.211666666666667,7.3240997802731975,0.6483333333333334
Mukah,42194,3359,3898,8.68019323050557,3.6416666666666666,1.73,8.168333333333333,15.297941821908994,6.438333333333333,35.88768794749403,23.89333333333333,4.489999999999999,58.74333333333333,36.994776618767936,54.25333333333333,27.20749471698846,20.251666666666665,2.7599999999999993,50.575,21.696834796858944,47.815
Pakan,15293,1302,1443,8.56462807017544,6.423333333333333,3.385,12.126666666666667,7.589077516390077,8.741666666666667,29.262849922239504,21.313333333333333,5.075,37.538333333333334,34.21339094393484,32.46333333333333,20.698221852064066,14.89,1.6900000000000004,25.41166666666667,26.624313427544763,23.721666666666664
Pusa,19499,1999,2697,2.9132968730688416,1.87,1.09,2.6733333333333333,5.735719656994522,1.5833333333333333,12.85077955644489,4.178333333333333,3.2449999999999997,23.426666666666666,13.667684062904062,20.181666666666665,9.937482683376048,2.3083333333333327,2.1549999999999994,20.753333333333334,7.9319644059095396,18.598333333333333
Samarahan,128307,12561,11274,5.014099254922831,4.711666666666667,2.545,6.628333333333333,3.085208712689228,4.083333333333333,6.476950348963723,6.1066666666666665,3.878333333333333,7.751666666666667,3.4995678102113885,3.873333333333334,1.462851094040892,1.3949999999999996,1.333333333333333,1.123333333333334,0.4143590975221607,-0.20999999999999908
Saratok,23517,1669,1745,3.5396695319961795,2.635,1.35,4.510000000000001,3.0917688494751014,3.1600000000000006,14.668406274980017,3.775,1.7083333333333333,29.084999999999997,18.193276562327906,27.376666666666665,11.128736742983836,1.1400000000000001,0.35833333333333317,24.574999999999996,15.101507712852804,24.216666666666665
Sarikei,44097,3959,4193,3.174364416885285,2.6733333333333333,1.74,3.69,2.533815203012061,1.95,8.749162246358509,3.76,2.5433333333333334,7.33,13.230220319831874,4.786666666666667,5.574797829473224,1.0866666666666664,0.8033333333333335,3.64,10.696405116819813,2.836666666666667
Sebauh,29897,1750,2636,23.14536540181423,15.658333333333333,3.3866666666666663,29.35666666666667,26.58776771627694,25.970000000000002,66.54537069131524,65.325,20.265,95.135,50.65597655547818,74.87,43.40000528950101,49.66666666666667,16.878333333333334,65.77833333333334,24.068208839201244,48.900000000000006
Selangau,19412,1541,1847,10.88482770879916,7.988333333333333,2.9766666666666666,13.081666666666667,11.458406086840844,10.105,39.63773561674502,30.32,20.918333333333333,42.07333333333334,64.28022003903469,21.155000000000005,28.75290790794586,22.331666666666667,17.941666666666666,28.99166666666667,52.82181395219384,11.050000000000004
