id,x,y,primary_school_students,secondary_school_students,district,parlimen,dun,bandar_luarbandar
3648,111.662163,1.782351,1.414997755617872,1.2774285293772456,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3649,111.662518,1.227403,3.982871342385331,3.489753938090004,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3650,111.662762,2.328289,7.275459662588736,6.723392262717505,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3651,111.663816,2.347628,2.28614734536892,2.112672750056374,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3652,111.664385,1.673074,14.324877966995818,12.932181497982334,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3653,111.664674,1.115267,5.183150036086401,4.5414266982852265,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3654,111.664771,1.129566,21.135289151092707,18.518539065719324,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3655,111.664857,1.335973,5.778410921505464,5.062988616938121,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3656,111.666176,1.810941,18.86663674157163,17.03238039169661,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3657,111.666423,2.166001,6.152166798696091,5.1268056655800756,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3658,111.666616,1.572253,1.4922672074905723,1.427786525685424,Betong,P.204 Betong,N.37 Bukit Saban,Luar Bandar
3659,111.666884,2.262574,3.173561966304314,2.644634971920262,Meradong,P.207 Igan,N.43 Daro,Luar Bandar
3660,111.667314,2.33017,5.94778570183574,5.4964632095555235,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3661,111.667786,1.789708,1.414997755617872,1.2774285293772456,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3662,111.668118,1.597521,1.102707721229161,1.0550598567316047,Betong,P.204 Betong,N.37 Bukit Saban,Luar Bandar
3663,111.668171,1.134809,112.42563797034282,98.50627326925276,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3664,111.668171,1.143149,60.26111522865278,52.800215247962434,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3665,111.668171,1.918774,4.862653867351817,4.38989585247039,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3666,111.668171,1.927114,9.679704949315962,8.73862252368802,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3667,111.668171,2.027194,2.0231108934892945,1.685925744574412,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3668,111.668171,2.068895,2.9265303052239022,2.438775254353252,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3669,111.668171,2.077235,14.92854650306824,12.440455419223534,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3670,111.668171,2.085575,5.058578686138176,4.21548223844848,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3671,111.668171,2.093915,1.569718400890215,1.3080986674085124,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3672,111.668171,2.143955,7.808181326456312,6.506817772046928,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3673,111.668171,2.152295,18.040394937009278,15.033662447507734,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3674,111.668171,2.335776,21.529647214091227,19.895961246626314,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3675,111.669722,1.483857,1.9824294080305485,1.89676887805392,Betong,P.204 Betong,N.36 Layar,Luar Bandar
3676,111.669744,1.740411,2.829995511235744,2.554857058754491,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3677,111.670205,1.979902,0.9433318370785814,0.8516190195848304,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3678,111.670511,2.273905,12.07763638765933,10.06469698971611,Meradong,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3679,111.671026,1.451617,1.0110417478577056,0.8858651505038946,Lubok Antu,P.204 Betong,N.36 Layar,Luar Bandar
3680,111.671251,2.26787,2.311437416667095,1.9261978472225794,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3681,111.671262,1.784368,28.299955112357438,25.548570587544916,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3682,111.671621,1.513748,5.673512768935762,5.4283609826237225,Betong,P.204 Betong,N.36 Layar,Luar Bandar
3683,111.672249,1.866144,17.11739698910779,15.453205615166755,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3684,111.672549,1.602786,0.9674301507116811,0.9256276133352506,Betong,P.204 Betong,N.37 Bukit Saban,Luar Bandar
3685,111.67256,1.83331,14.715157157759045,13.284516878532472,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3686,111.67271,1.541762,2.9845344149811446,2.855573051370848,Betong,P.204 Betong,N.37 Bukit Saban,Luar Bandar
3687,111.672914,1.14276,4.641482196974753,4.066822496396927,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3688,111.673005,1.734041,4.716659185392907,4.258095097924152,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3689,111.673096,2.061037,1.7156312898504529,1.4296927415420442,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3690,111.673343,2.033353,2.099668372992366,1.7497236441603052,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3691,111.675725,1.812763,5.659991022471488,5.109714117508982,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3692,111.676047,1.337421,9.490079745081676,8.315117490928706,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3693,111.676154,1.888652,26.676281128728927,24.082753796769172,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3694,111.676487,1.683305,4.716659185392907,4.258095097924152,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3695,111.676502,1.126469,17.74862829579031,15.551179078216272,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3696,111.676502,1.134809,15.013301882428534,13.154512125556428,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3697,111.676502,1.151489,1.2179610417620141,1.0671658651629077,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3698,111.676502,1.201529,15.140612694113555,13.266060646270924,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3699,111.676502,1.868733,49.35414211300517,44.55582274090744,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3700,111.676502,1.893754,97.31049435243172,87.8497518459453,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3701,111.676502,1.902094,4.367770600548452,3.9431262366062416,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3702,111.676502,2.043875,1.9150354834755694,1.5958629028963078,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3703,111.676502,2.068895,22.766847895580607,18.972373246317172,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3704,111.676502,2.077235,12.310995075737628,10.25916256311469,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3705,111.676502,2.085575,8.986343489966135,7.488619574971779,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3706,111.676502,2.118935,17.80557523232051,14.837979360267092,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3707,111.676502,2.319096,8.225194729494167,7.601060712079974,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3708,111.677721,2.174063,3.511662852197826,2.926385710164855,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3709,111.677828,1.520355,3.2420072965347213,3.10192056149927,Betong,P.204 Betong,N.36 Layar,Luar Bandar
3710,111.678911,1.89871,4.05792205848109,3.663401858350984,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3711,111.679051,1.895611,12.734171459509655,11.496127012057327,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3712,111.679255,2.057402,3.015121096579713,2.5126009138164274,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3713,111.680349,1.50579,1.6210036482673607,1.550960280749635,Betong,P.204 Betong,N.36 Layar,Luar Bandar
3714,111.681615,1.808689,4.716659185392907,4.258095097924152,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3715,111.681803,2.696877,9.138417785883046,7.554425369663319,Matu,P.207 Igan,N.43 Daro,Luar Bandar
3716,111.682334,2.173109,3.511662852197826,2.926385710164855,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3717,111.683289,1.412222,2.06191300694282,1.806628539416566,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3718,111.684833,1.718612,9.427540541580251,8.510974100037727,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3719,111.684833,1.877073,22.023959344288006,19.88274107470445,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3720,111.684833,1.885414,52.45419547382515,47.35448202498104,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3721,111.684833,1.893754,73.60069655071665,66.44507327495253,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
3722,111.684833,2.052215,1.8533505928654654,1.544458827387888,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3723,111.684833,2.060555,11.550710530560488,9.625592108800408,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3724,111.684833,2.068895,18.98392432164395,15.819936934703293,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3725,111.684833,2.085575,6.948119166508148,5.790099305423457,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3726,111.684833,2.093915,10.247487019239223,8.539572516032687,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3727,111.684833,2.102255,1.5883784045561842,1.3236486704634869,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3728,111.684833,2.110595,38.94040539091889,32.45033782576574,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3729,111.684833,2.118935,7.26316637760717,6.052638648005976,Meradong,P.208 Sarikei,N.46 Meradong,Luar Bandar
3730,111.684833,2.302416,36.50969730963857,33.739313773947835,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3731,111.684833,2.310756,14.357878489535983,13.268391774882847,Sibu,P.212 Sibu,N.53 Bawang Assan,Luar Bandar
3732,111.685118,1.10586,1.8384815215087666,1.6108599997981572,Lubok Antu,P.203 Lubok Antu,N.34 Batang Ai,Luar Bandar
3733,111.685145,1.228819,2.06191300694282,1.806628539416566,Lubok Antu,P.203 Lubok Antu,N.33 Engkilili,Luar Bandar
3734,111.686196,1.93936,9.426772149689025,8.510280412913703,Pakan,P.209 Julau,N.47 Pakan,Luar Bandar
